cwit_id,crid,gender,age,race,race_edit,final_outcome_highest
29985,1066795,F,35.1,BLACK,Black,not-sustained
29986,1066797,M,26.5,BLACK,Black,not-sustained
29987,1066799,F,25.6,BLACK,Black,not-sustained
29988,1066800,M,43.4,UNKNOWN,Unknown,unknown
29989,1066801,F,29.0,BLACK,Black,not-sustained
29990,1066803,M,46.9,BLACK,Black,not-sustained
29991,1066804,F,46.5,BLACK,Black,unknown
29992,1066805,M,48.5,WHITE,White,not-sustained
29993,1066807,M,39.7,WHITE,White,unknown
29994,1066809,M,54.6,WHITE,White,open-investigation
29995,1066810,F,50.3,WHITE,White,open-investigation
29996,1066812,M,29.9,ASIAN/PACIFIC ISLANDER,Asian,unknown
29997,1066813,M,49.8,WHITE HISPANIC,White/Hispanic,unknown
29998,1066814,M,60.4,WHITE,White,open-investigation
29999,1066815,F,30.3,WHITE HISPANIC,White/Hispanic,unknown
30000,1066818,F,29.0,BLACK,Black,unknown
30001,1066819,F,41.1,WHITE,White,open-investigation
30002,1066819,M,57.1,BLACK,Black,open-investigation
30003,1066820,F,49.1,BLACK,Black,not-sustained
30004,1066821,M,35.0,BLACK,Black,not-sustained
30005,1066823,M,44.7,BLACK,Black,not-sustained
30006,1066824,F,29.0,BLACK,Black,unknown
30007,1066825,F,35.0,BLACK,Black,not-sustained
30008,1066826,M,20.1,BLACK,Black,not-sustained
30009,1066828,M,31.3,WHITE,White,unknown
30010,1066832,F,,BLACK,Black,unknown
30011,1066838,M,32.7,BLACK,Black,not-sustained
30012,1066839,F,24.9,WHITE,White,not-sustained
30013,1066840,F,49.1,BLACK,Black,not-sustained
30014,1066841,M,26.4,BLACK,Black,not-sustained
30015,1066842,M,,BLACK,Black,unknown
30016,1066843,M,61.9,WHITE,White,not-sustained
30017,1066845,M,22.4,WHITE,White,not-sustained
30018,1066846,F,28.2,WHITE,White,unknown
30019,1066847,F,26.1,BLACK,Black,open-investigation
30020,1066848,M,47.3,BLACK,Black,not-sustained
30021,1066850,M,40.3,WHITE,White,open-investigation
30022,1066851,F,51.0,BLACK,Black,not-sustained
30023,1066852,M,37.0,BLACK,Black,not-sustained
30024,1066853,F,30.9,BLACK,Black,unknown
30025,1066856,F,57.8,BLACK,Black,unknown
30026,1066857,F,46.0,BLACK,Black,not-sustained
30027,1066858,M,35.7,WHITE,White,unknown
30028,1066859,M,39.7,BLACK,Black,not-sustained
30029,1066860,M,44.8,HISPANIC,Hispanic,not-sustained
30030,1066860,F,41.7,WHITE,White,not-sustained
30031,1066861,F,40.8,BLACK,Black,unknown
30032,1066864,F,,BLACK,Black,not-sustained
30033,1066865,M,22.5,BLACK,Black,not-sustained
30034,1066867,F,43.1,BLACK,Black,not-sustained
30035,1066869,M,46.2,WHITE,White,unknown
30036,1066870,F,39.1,WHITE,White,open-investigation
30037,1066871,M,42.7,BLACK,Black,not-sustained
30038,1066875,F,50.0,BLACK,Black,open-investigation
30039,1066876,M,43.2,BLACK,Black,not-sustained
30040,1066877,M,21.6,BLACK,Black,unknown
30041,1066878,M,49.4,WHITE,White,sustained
30042,1066880,F,43.1,BLACK,Black,not-sustained
30043,1066884,F,39.5,BLACK HISPANIC,Black/Hispanic,open-investigation
30044,1066885,M,50.6,BLACK,Black,not-sustained
30045,1066886,M,49.2,BLACK,Black,unknown
30046,1066887,M,61.6,BLACK,Black,not-sustained
30047,1066888,M,,UNKNOWN,Unknown,not-sustained
30048,1066889,M,,UNKNOWN,Unknown,not-sustained
30049,1066890,M,,UNKNOWN,Unknown,not-sustained
30050,1066893,F,64.0,BLACK,Black,unknown
30051,1066894,F,24.2,WHITE,White,unknown
30052,1066897,F,31.2,WHITE,White,not-sustained
30053,1066900,M,59.3,WHITE,White,unknown
30054,1066903,M,29.9,WHITE HISPANIC,White/Hispanic,open-investigation
30055,1066907,M,30.8,ASIAN/PACIFIC ISLANDER,Asian,unknown
30056,1066908,M,,UNKNOWN,Unknown,not-sustained
30057,1066909,M,,UNKNOWN,Unknown,not-sustained
30058,1066910,M,28.1,BLACK,Black,unknown
30059,1066911,F,47.1,BLACK,Black,unknown
30060,1066912,M,44.3,BLACK,Black,open-investigation
30061,1066913,M,23.1,BLACK,Black,not-sustained
30062,1066916,F,42.8,WHITE,White,open-investigation
30063,1066917,M,,BLACK,Black,unknown
30064,1066918,F,,WHITE,White,unknown
30065,1066921,F,49.2,WHITE,White,unknown
30066,1066922,F,35.6,BLACK,Black,not-sustained
30067,1066923,M,64.2,BLACK,Black,not-sustained
30068,1066924,M,32.7,BLACK,Black,unknown
30069,1066925,F,57.9,WHITE,White,unknown
30070,1066929,F,29.1,BLACK,Black,not-sustained
